Gjelderfradato	LønnN	StillingsprosentN	AjourholddatoN	Lønn	Stillingsprosent	Ajourholddato	GrunnlagstypeIF	GrunnlagstypeUP	Ytelse_IF	Ytelse_BTUP	Ytelse_UP	Ytelse_UPBT	Ytelse_BT
01.01.2020 00:00	378092	0,596	09.03.2020	213744	0,4923	09.03.2020	Faktisk	Faktisk	3884	0	2137	0	0
01.12.2019 00:00	381388	0,5721	13.01.2020	359316	0,8277	13.01.2020	Faktisk	Faktisk	6529	0	3593	0	0
01.11.2019 00:00	385036	0,5839	04.12.2019	533724	1	04.12.2019	Faktisk	Faktisk	10239	0	5337	0	0
01.10.2019 00:00	379550	0,5629	06.11.2019	447384	0,8205	06.11.2019	Faktisk	Faktisk	8624	0	4473	0	0
01.02.2019 00:00	339569	0,6642	08.04.2019	373380	0,5007	08.04.2019	Faktisk	Faktisk	8141	0	40778	0	0
01.01.2019 00:00	337625	0,6909	06.02.2019	252552	0,2114	06.02.2019	Faktisk	Faktisk	6962	0	57755	0	0
01.12.2018 00:00	346966	0,7401	21.01.2019	402276	0,9662	21.01.2019	Faktisk	Faktisk	7284	0	4022	0	0
01.10.2018 00:00	334853	0,7443	03.12.2018	466968	0,7446	03.12.2018	Faktisk	Faktisk	9317	0	20028	0	0
01.09.2018 00:00	327676	0,7493	28.09.2018	473688	0,8118	28.09.2018	Faktisk	Faktisk	9322	0	5541	0	0
01.08.2018 00:00	317179	0,7453	30.08.2018	137448	0,3354	30.08.2018	Faktisk	Faktisk	2476	0	1374	0	0
01.07.2018 00:00	331738	0,7842	01.08.2018	145008	0,3538	01.08.2018	Faktisk	Faktisk	2336	0	1450	0	0
01.06.2018 00:00	345655	0,8216	29.06.2018	419436	1	29.06.2018	Faktisk	Faktisk	6805	0	4194	0	0
01.05.2018 00:00	336567	0,8046	30.05.2018	330372	0,8062	30.05.2018	Faktisk	Faktisk	5322	0	3303	0	0
01.04.2018 00:00	334741	0,8036	27.04.2018	320292	0,7815	27.04.2018	Faktisk	Faktisk	5214	0	3202	0	0
01.03.2018 00:00	333802	0,8046	28.03.2018	300108	0,72	28.03.2018	Faktisk	Faktisk	4909	0	3001	0	0
01.02.2018 00:00	334546	0,8109	21.03.2018	348036	0,8492	21.03.2018	Faktisk	Faktisk	5665	0	3480	0	0
01.01.2018 00:00	331541	0,8066	30.01.2018	362532	0,7908	30.01.2018	Faktisk	Faktisk	6087	0	3625	0	0
01.12.2017 00:00	326983	0,8069	08.01.2018	382080	0,9323	08.01.2018	Faktisk	Faktisk	6219	0	3820	0	0
01.11.2017 00:00	320765	0,7951	03.12.2017	340464	0,8308	03.12.2017	Faktisk	Faktisk	5542	0	3404	0	0
01.10.2017 00:00	318168	0,7921	04.11.2017	382464	0,8031	04.11.2017	Faktisk	Faktisk	6483	0	3824	0	0
01.09.2017 00:00	317696	0,8033	02.10.2017	345972	0,7631	02.10.2017	Faktisk	Faktisk	5792	0	3459	0	0
